MES;SEM;FECHA;Usina;Familia;Tipo  vehiculo;Fabrica;Avance producto;Motor;Caja de velocidades;Trasmision;Version;Num. de Identificacion;Numero de fabricacion;Color;Codigo defecto;Titulo defecto;Comentario defecto;Demerito (pt);Taller;Elementos;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCT;;;;;655193350080;;;0210-4466;BOLLOS-DOBLADO MARCO DE PUERTA AVD.;ND;P2;Partes móviles;BOLLOS;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCT;;;;;655194950013;;;0440-4202;PROYECCION DE SOLDADURA-DOBLADO INT. DE CAPOT AV..;FG;P2;Partes móviles;PROYECCION DE SOLDADURA;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCT;;;;;655194950013;;;0210-4401;BOLLOS-PUERTA AVI.;ND;P2;Partes móviles;BOLLOS;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCT;;;;;655194950013;;;0210-4374;BOLLOS-ENCUADRAMIENTO DE PUERTA AVD.;ND;P2;Laterales-P1;BOLLOS;;;;;;;;;
8;Sem32;6/8/2019;VP;X52;BCR;655;TCP;;;;;655193040058;;;1400-4376;RETOQUE DE PINTURA APARENTE-ENCUADRAMIENTO DE PUERTA ARD.;MR;P2;LFP;RETOQUE DE PINTURA APARENTE;;;;;;;;;
8;Sem32;6/8/2019;VP;X52;BCR;655;TCP;;;;;655193040058;;;1052-4513;MASTICO IMPIDE EL MONTAJE-ALETA  ARI.;ND;P2;Selladores;MASTICO IMPIDE EL MONTAJE;;;;;;;;;
8;Sem32;6/8/2019;VP;X67;F67;655;TCP;;;;;655193030187;;;1040-4207;MASTICO IRREGULAR-BORDE ENGASTADO DE CAPOT AV.;MR;P2;Selladores;MASTICO IRREGULAR;;;;;;;;;
8;Sem32;6/8/2019;VP;X67;F67;655;TCP;;;;;655193610107;;;4070-4302;OBTURADOR MAL POSICIONADO-PIE  AVD.;ND;P2;LFP;OBTURADOR MAL POSICIONADO;;;;;;;;;
8;Sem32;6/8/2019;VP;X67;F67;655;TCP;;;;;655193610126;;;0210-4303;BOLLOS-BAJOCAJA  I.;MR;P2;Degradaciones;BOLLOS;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCP;;;;;655193040261;;;1040-4443;MASTICO IRREGULAR-REBATIDO DE PUERTA ARI.;ND;P2;Selladores;MASTICO IRREGULAR;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCP;;;;;655193040261;;;1180-4307;GRANO-PIE MEDIO  I.;MR;P2;Selladores;GRANO;;;;;;;;;
8;Sem32;6/8/2019;VU;H60A;H60A;655;TCP;;;;;655193220098;;;1180-4210;GRANO-CAPOT AV.;ND;P2;Selladores;GRANO;;;;;;;;;
8;Sem32;7/8/2019;VP;X52;B52;655;TCP;;;;;655193050025;;;1001-4443;AMPOLLAS DEL MASTICO-REBATIDO DE PUERTA ARI.;ND;P2;Chapa;AMPOLLAS DEL MASTICO;;;;;;;;;
8;Sem32;7/8/2019;VP;X67;F67;655;TCP;;;;;655193330134;;;0703-4772;PROYECCION MASTICO DE CHAPA-CARA INTERNA DE PAÑO LAT D;ND;P2;Selladores;PROYECCION MASTICO DE CHAPA;;;;;;;;;
8;Sem32;7/8/2019;VP;X67;F67;655;TCP;;;;;655193330141;;;1053-4834;MASTICO BAJO LACA-PUERTA BATIENTE ARD.;ND;P2;Selladores;MASTICO BAJO LACA;;;;;;;;;
8;Sem32;7/8/2019;VU;H60A;H60A;655;TCP;;;;;655193350080;;;1450-4514;RETOQUE LOCAL CON PLUMA-ALETA ARD.;MR;P2;LFP;RETOQUE LOCAL CON PLUMA;;;;;;;;;
8;Sem32;7/8/2019;VU;H60A;H60A;655;TCP;;;;;655193350080;;;1510-4520;DESCONCHADO-HAYON /  PORTON;MR;P2;Degradaciones;DESCONCHADO;;;;;;;;;
8;Sem32;7/8/2019;VP;X52;L52;655;TCP;;;;;655193230081;;;1190-4202;DEPOSITO DE PARTICULAS-DOBLADO INT. DE CAPOT AV..;ND;P2;Selladores;DEPOSITO DE PARTICULAS;;;;;;;;;
8;Sem32;7/8/2019;VP;X52;L52;655;TCP;;;;;655193240049;;;1180-4313;GRANO-TECHO;MR;P2;Selladores;GRANO;;;;;;;;;
8;Sem32;7/8/2019;VP;X52;BCR;655;TCT;;;;;655193310136;;;0400-1010;ASPECTO JUNTA - CORDON SOLDADURA-BLOQUE DE MOTOR;FG;P2;Piso-Block;ASPECTO JUNTA ;;;;;;;;;
8;Sem32;7/8/2019;VP;X67;F67;655;TCT;;;;;655193030116;;;0240-4340;DEFORMACION CHAPA-VANO DE PARABRISAS;FG;P2;Laterales-P1;DEFORMACION CHAPA;;;;;;;;;
8;Sem32;7/8/2019;VP;X67;F67;655;TCT;;;;;655193030116;;;0210-4402;BOLLOS-PUERTA AVD.;ND;P2;Partes móviles;BOLLOS;;;;;;;;;
8;Sem32;7/8/2019;VU;H60A;H60A;655;TCT;;;;;655193220085;CAJA;;0241-4505;PESTAÑA DEFORMADA-CAJON PORTON;ND;P2;Partes móviles;PESTAÑA DEFORMADA;;;;;;;;;
8;Sem32;7/8/2019;VU;H60A;H60A;655;TCT;;;;;655193440072;;;0210-4210;BOLLOS-CAPOT AV.;ND;P2;Partes móviles;BOLLOS;;;;;;;;;
8;Sem32;7/8/2019;VU;H60A;H60A;655;TCT;;;;;655195030065;;;0440-4202;PROYECCION DE SOLDADURA-DOBLADO INT. DE CAPOT AV..;FG;P2;Partes móviles;PROYECCION DE SOLDADURA;;;;;;;;;
8;Sem32;7/8/2019;VP;X52;L52;655;TCT;;;;;655193320116;;;0480-4376;SOLDADURA ESTALLADA-ENCUADRAMIENTO DE PUERTA ARD.;ND;P2;Laterales-P1;SOLDADURA ESTALLADA;;;;;;;;;
8;Sem32;8/8/2019;VP;X52;B52;655;TCT;;;;;655193340087;;;0210-4308;BOLLOS-PIE MEDIO  D.;ND;P2;Laterales-P1;BOLLOS;;;;;;;;;
8;Sem32;8/8/2019;VP;X52;BCR;655;TCT;;;;;655193310137;;;0240-4214;DEFORMACION CHAPA-ALETA  AVD.;ND;P2;Partes móviles;DEFORMACION CHAPA;;;;;;;;;
8;Sem32;8/8/2019;VU;H60A;H60A;655;TCT;;;;;655193220100;CAJA;;0210-4390;BOLLOS-LADO DE CAJA D.;ND;P2;Laterales-P1;BOLLOS;;;;;;;;;
8;Sem32;8/8/2019;VU;H60A;H60A;655;TCT;;;;;655193220120;CAJA;;0210-4389;BOLLOS-LADO DE CAJA I.;ND;P2;Laterales-P1;BOLLOS;;;;;;;;;
8;Sem32;8/8/2019;VU;H60A;H60A;655;TCT;;;;;655193350003;;;0430-4327;SOLDADURA MAL POSICIONADA-DOBLADO DE PIE  AVI.;FG;P2;Laterales-P1;SOLDADURA MAL POSICIONADA;;;;;;;;;
8;Sem32;8/8/2019;VU;H60A;H60A;655;TCT;;;;;655193420033;;;0030-4016;JUEGO EXCESIVO-PAÑO DE PUERTA AVD / PUERTA  ARD;FG;P2;Ferrage- Caja;JUEGO EXCESIVO;;;;;;;;;
8;Sem32;8/8/2019;VU;H60A;H60A;655;TCT;;;;;655193040297;CAJA;;0360-4852;RAYA EN PIEZA DE CHAPA-PISO UTILITARIO (CONJUNTO);ND;P2;Piso-Block;RAYA EN PIEZA DE CHAPA;;;;;;;;;
8;Sem32;8/8/2019;VU;H60A;H60A;655;TCT;;;;;655193040297;CAJA;;0210-4768;BOLLOS-PAÑO LATERAL ARD;ND;P2;Laterales-P1;BOLLOS;;;;;;;;;
8;Sem32;8/8/2019;VP;X52;L52;655;TCT;;;;;655193340100;;;0110-4374;MAL ACOSTAJE-ENCUADRAMIENTO DE PUERTA AVD.;FG;P2;Ferrage- Caja;MAL ACOSTAJE;;;;;;;;;
8;Sem32;8/8/2019;VP;X52;B52;655;TCP;;;;;655193230056;;;1053-4048;MASTICO BAJO LACA-COPELA AMORTIGUADOR D./ LADO AUVENT D.;FG;P2;Selladores;MASTICO BAJO LACA;;;;;;;;;
8;Sem32;8/8/2019;VP;X52;BCR;655;TCP;;;;;655193240008;;;1450-4417;RETOQUE LOCAL CON PLUMA-MARCO DE PUERTA  ARI.;MR;P2;LFP;RETOQUE LOCAL CON PLUMA;;;;;;;;;
8;Sem32;8/8/2019;VP;X67;F67;655;TCP;;;;;655193040172;;;0230-4210;PICO-CAPOT AV.;ND;P2;Chapa;PICO;;;;;;;;;
8;Sem32;8/8/2019;VP;X67;F67;655;TCP;;;;;655193050166;;;1400-4776;RETOQUE DE PINTURA APARENTE-ENCTº.DE PUERTA DESLIZANTE D.;MR;P2;LFP;RETOQUE DE PINTURA APARENTE;;;;;;;;;
8;Sem32;8/8/2019;VP;X67;F67;655;TCP;;;;;655193330038;;;1510-4833;DESCONCHADO-PUERTA BATIENTE ARI.;ND;P2;Degradaciones;DESCONCHADO;;;;;;;;;
8;Sem32;8/8/2019;VP;X52;L52;655;TCP;;;;;655193310163;;;1180-4504;GRANO-PAÑO EXT DE PORTON;MR;P2;Selladores;GRANO;;;;;;;;;
8;Sem32;8/8/2019;VP;X52;L52;655;TCP;;;;;655193320119;;;1220-4206;FALTA ESPESOR DE PINTURA-GOTERON COFRE DEL MOTOR;ND;P2;Cabinas;FALTA ESPESOR DE PINTURA;;;;;;;;;
8;Sem32;9/8/2019;VP;X52;BCR;655;TCT;;;;;655193320057;;;0430-1010;SOLDADURA MAL POSICIONADA-BLOQUE DE MOTOR;FG;P2;Piso-Block;SOLDADURA MAL POSICIONADA;;;;;;;;;
8;Sem32;9/8/2019;VP;X52;BCR;655;TCT;;;;;655193320057;;;0240-4410;DEFORMACION CHAPA-CAJON DE PUERTA AVD.;FG;P2;Partes móviles;DEFORMACION CHAPA;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCT;;;;;655193040167;;;0701-4508;MASTICO DE CHAPA MAL POSICIONADO-PASO DE RUEDA  ARD.;FG;P2;Laterales-P1;MASTICO DE CHAPA MAL POSICIONADO;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCT;;;;;655193040167;;;0480-4374;SOLDADURA ESTALLADA-ENCUADRAMIENTO DE PUERTA AVD.;ND;P2;Laterales-P1;SOLDADURA ESTALLADA;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCT;;;;;655193050096;;;0706-4754;DESBORDAMIENTO MASTICO DE CHAPA-TRAVIESA SUPERIOR AR.;ND;P2;Laterales-P1;DESBORDAMIENTO MASTICO DE CHAPA;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCT;;;;;655193610159;;;0470-4161;SOLDADURA PERFORADA-TUNEL DE PISO;FG;P1;Laterales-P1;SOLDADURA PERFORADA;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCT;;;;;655193610159;;;0630-1010;FIJA.,REMACH.O GRUPILLA NO CONFORME(CH)-BLOQUE DE MOTOR;FG;P2;Piso-Block;FIJA.,REMACH.O GRUPILLA NO CONFORME(CH);;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCT;;;;;655194110014;;;0440-4815;PROYECCION DE SOLDADURA-PUERTA DESLIZANTE LATERAL I.;ND;P2;Partes móviles;PROYECCION DE SOLDADURA;;;;;;;;;
8;Sem32;9/8/2019;VU;H60A;H60A;655;TCT;;;;;655193020008;;;0706-4307;DESBORDAMIENTO MASTICO DE CHAPA-PIE MEDIO  I.;ND;P2;Laterales-P1;DESBORDAMIENTO MASTICO DE CHAPA;;;;;;;;;
8;Sem32;9/8/2019;VP;X52;L52;655;TCT;;;;;655193330108;;;0430-4129;SOLDADURA MAL POSICIONADA-PASO DE RUEDA ARI./ PISO;FG;P1;Laterales-P1;SOLDADURA MAL POSICIONADA;;;;;;;;;
8;Sem32;9/8/2019;VP;X52;L52;655;TCT;;;;;655193330108;;;0210-4214;BOLLOS-ALETA  AVD.;ND;P2;Partes móviles;BOLLOS;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCP;;;;;655193030116;;;4070-4301;OBTURADOR MAL POSICIONADO-PIE  AVI.;ND;P2;;OBTURADOR MAL POSICIONADO;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCP;;;;;655193030116;;;0708-4833;MASTICO DE CHAPA DESPEGADO-PUERTA BATIENTE ARI.;FG;P2;;MASTICO DE CHAPA DESPEGADO;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCP;;;;;655193030116;;;0706-4773;DESBORDAMIENTO MASTICO DE CHAPA-CARA INTERNA DE PAÑO LAT  I;MR;P2;;DESBORDAMIENTO MASTICO DE CHAPA;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCP;;;;;655193050129;;;1400-4210;RETOQUE DE PINTURA APARENTE-CAPOT AV.;MR;P2;;RETOQUE DE PINTURA APARENTE;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCP;;;;;655193050146;;;0708-4831;MASTICO DE CHAPA DESPEGADO-CAJON DE PUERTA BATIENTE ARI.;FG;P2;;MASTICO DE CHAPA DESPEGADO;;;;;;;;;
8;Sem32;9/8/2019;VP;X67;F67;655;TCP;;;;;655193050167;;;0703-4754;PROYECCION MASTICO DE CHAPA-TRAVIESA SUPERIOR AR.;MR;P2;;PROYECCION MASTICO DE CHAPA;;;;;;;;;
8;Sem32;9/8/2019;VU;H60A;H60A;655;TCP;;;;;655193320027;;;0230-4210;PICO-CAPOT AV.;ND;P2;;PICO;;;;;;;;;
8;Sem32;9/8/2019;VU;H60A;H60A;655;TCP;;;;;655193440003;;;1430-4100;PROYECCION DE PINTURA-ALOJAMIENTO PIPA LLENADO / ALETA  AR.;MR;P2;;PROYECCION DE PINTURA;;;;;;;;;
8;Sem32;9/8/2019;VU;H60A;H60A;655;TCP;;;;;655193440003;;;1040-4444;MASTICO IRREGULAR-REBATIDO DE PUERTA ARD.;MR;P2;;MASTICO IRREGULAR;;;;;;;;;
8;Sem33;12/8/2019;VP;X52;BCR;655;TCT;;;;;655193320055;;;0210-4214;BOLLOS-ALETA  AVD.;ND;P2;Partes móviles;BOLLOS;;;;;;;;;
8;Sem33;12/8/2019;VP;X67;F67;655;TCT;;;;;655193450037;;;0630-4813;FIJA.,REMACH.O GRUPILLA NO CONFORME(CH)-CAJON DE PUERTA DESLIZANTE I.;FG;P2;Partes móviles;FIJA.,REMACH.O GRUPILLA NO CONFORME(CH);;;;;;;;;
8;Sem33;12/8/2019;VP;X67;F67;655;TCT;;;;;655193450037;;;0210-4768;BOLLOS-PAÑO LATERAL ARD;ND;P2;Laterales-P1;BOLLOS;;;;;;;;;
8;Sem33;12/8/2019;VP;X67;F67;655;TCT;;;;;655193520049;;;0240-4313;DEFORMACION CHAPA-TECHO;FG;P2;Laterales-P1;DEFORMACION CHAPA;;;;;;;;;
8;Sem33;12/8/2019;VP;X67;F67;655;TCT;;;;;655193550056;;;0110-4129;MAL ACOSTAJE-PASO DE RUEDA ARI./ PISO;FG;P2;Piso-Block;MAL ACOSTAJE;;;;;;;;;
8;Sem33;12/8/2019;VU;H60A;H60A;655;TCT;;;;;655192130722;;;0440-4340;PROYECCION DE SOLDADURA-VANO DE PARABRISAS;ND;P2;Laterales-P1;PROYECCION DE SOLDADURA;;;;;;;;;
8;Sem33;12/8/2019;VU;H60A;H60A;655;TCT;;;;;655193430015;;;0060-4004;JUEGO IRREGULAR-MARCO PTA. AVD./ PIE MEDIO O MARCO PTA.ARD.;FG;P2;Ferrage- Caja;JUEGO IRREGULAR;;;;;;;;;
8;Sem33;12/8/2019;VP;X52;L52;655;TCT;;;;;655193350057;;;0010-4016;SOBRESALE-PAÑO DE PUERTA AVD / PUERTA  ARD;FG;P2;Ferrage- Caja;SOBRESALE;;;;;;;;;
8;Sem33;12/8/2019;VP;X52;B52;655;TCP;;;;;655193410117;;;0703-4202;PROYECCION MASTICO DE CHAPA-DOBLADO INT. DE CAPOT AV..;MR;P2;Chapa;PROYECCION MASTICO DE CHAPA;;;;;;;;;
8;Sem33;12/8/2019;VP;X67;F67;655;TCP;;;;;655193040167;;;0703-4130;PROYECCION MASTICO DE CHAPA-PISO AR. DE COFRE-- CAJA;MR;P2;Chapa;PROYECCION MASTICO DE CHAPA;;;;;;;;;
8;Sem33;12/8/2019;VP;X67;F67;655;TCP;;;;;655193040179;;;1400-4514;RETOQUE DE PINTURA APARENTE-ALETA ARD.;MR;P2;LFP;RETOQUE DE PINTURA APARENTE;;;;;;;;;
8;Sem33;12/8/2019;VU;H60A;H60A;655;TCP;;;;;655192131021;;;1120-4210;CRATER-CAPOT AV.;ND;P2;Cabinas;CRATER;;;;;;;;;
8;Sem33;12/8/2019;VU;H60A;H60A;655;TCP;;;;;655193040239;;;0706-4214;DESBORDAMIENTO MASTICO DE CHAPA-ALETA  AVD.;ND;P2;Chapa;DESBORDAMIENTO MASTICO DE CHAPA;;;;;;;;;
8;Sem33;12/8/2019;VU;H60A;H60A;655;TCP;;;;;655193530183;;;4260-4211;FIJACION ROSCADA FLOJA-ARTICULACION  I. DE CAPOT AV.;FG;P1;Chapa;FIJACION ROSCADA FLOJA;;;;;;;;;
8;Sem33;12/8/2019;VU;H60A;H60A;655;TCP;;;;;655193530200;;;1053-4307;MASTICO BAJO LACA-PIE MEDIO  I.;ND;P2;Cabinas;MASTICO BAJO LACA;;;;;;;;;
8;Sem33;12/8/2019;VU;H60A;H60A;655;TCP;;;;;655193530200;;;1190-4376;DEPOSITO DE PARTICULAS-ENCUADRAMIENTO DE PUERTA ARD.;ND;P2;Selladores;DEPOSITO DE PARTICULAS;;;;;;;;;
8;Sem33;12/8/2019;VP;X52;L52;655;TCP;;;;;655193210127;;;1250-4210;RAYA DE LIJADO-CAPOT AV.;ND;P2;Cabinas;RAYA DE LIJADO;;;;;;;;;
8;Sem33;12/8/2019;VP;X52;L52;655;TCP;;;;;655193210127;;;4070-4130;OBTURADOR MAL POSICIONADO-PISO AR. DE COFRE-- CAJA;FG;P1;Selladores;OBTURADOR MAL POSICIONADO;;;;;;;;;
8;Sem33;13/8/2019;VP;X52;BCR;655;TCT;;;;;655193340059;;;0230-4313;PICO-TECHO;ND;P2;Laterales-P1;PICO;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCT;;;;;655193410022;;;0400-4519;ASPECTO JUNTA - CORDON SOLDADURA-PISO AR./ PASO RUEDA  ARI.;FG;P2;Laterales-P1;ASPECTO JUNTA ;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCT;;;;;655193420058;;;0070-4210;MAL CENTRADO-CAPOT AV.;FG;P2;Ferrage- Caja;MAL CENTRADO;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCT;;;;;655193420058;;;0480-4813;SOLDADURA ESTALLADA-CAJON DE PUERTA DESLIZANTE I.;ND;P2;Partes móviles;SOLDADURA ESTALLADA;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCT;;;;;655193610153;;;0430-4519;SOLDADURA MAL POSICIONADA-PISO AR./ PASO RUEDA  ARI.;FG;P2;Laterales-P1;SOLDADURA MAL POSICIONADA;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCT;;;;;655193610158;;;0480-4773;SOLDADURA ESTALLADA-CARA INTERNA DE PAÑO LAT  I;FG;P2;Laterales-P1;SOLDADURA ESTALLADA;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCT;;;;;655193040244;CAJA;;0110-4130;MAL ACOSTAJE-PISO AR. DE COFRE-- CAJA;FG;P2;Ferrage- Caja;MAL ACOSTAJE;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCT;;;;;655193040244;CAJA;;0230-4389;PICO-LADO DE CAJA I.;ND;P2;Laterales-P1;PICO;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCT;;;;;655193430085;;;0240-4120;DEFORMACION CHAPA-PISO AV. O CABINA;FG;P2;Piso-Block;DEFORMACION CHAPA;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCT;;;;;655193430085;;;0060-4015;JUEGO IRREGULAR-PAÑO DE PUERTA  AVI / PUERTA  ARI;FG;P2;Ferrage- Caja;JUEGO IRREGULAR;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCT;;;;;655193040321;CAJA;;0430-4852;SOLDADURA MAL POSICIONADA-PISO UTILITARIO (CONJUNTO);ND;P2;Piso-Block;SOLDADURA MAL POSICIONADA;;;;;;;;;
8;Sem33;13/8/2019;VP;X52;L52;655;TCT;;;;;655193410169;;;0030-4016;JUEGO EXCESIVO-PAÑO DE PUERTA AVD / PUERTA  ARD;FG;P2;Ferrage- Caja;JUEGO EXCESIVO;;;;;;;;;
8;Sem33;13/8/2019;VP;X52;BCR;655;TCP;;;;;655193320055;;;4070-4539;OBTURADOR MAL POSICIONADO-PISO CENTRAL / PISO AR.;FG;P2;LFP;OBTURADOR MAL POSICIONADO;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCP;;;;;655193340028;;;1520-4814;RAYAS-CAJON DE PUERTA DESLIZANTE D.;MR;P2;Degradaciones;RAYAS;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCP;;;;;655193340028;;;1040-4207;MASTICO IRREGULAR-BORDE ENGASTADO DE CAPOT AV.;MR;P2;Selladores;MASTICO IRREGULAR;;;;;;;;;
8;Sem33;13/8/2019;VP;X67;F67;655;TCP;;;;;655194110049;;;0210-4210;BOLLOS-CAPOT AV.;ND;P2;Degradaciones;BOLLOS;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCP;;;;;655193230001;;;1053-4320;MASTICO BAJO LACA-VANO DE LUNETA AR.;MR;P2;Selladores;MASTICO BAJO LACA;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCP;;;;;655193250008;;;1180-4505;GRANO-CAJON PORTON;MR;P2;Selladores;GRANO;;;;;;;;;
8;Sem33;13/8/2019;VU;H60A;H60A;655;TCP;;;;;655193250008;;;1040-4384;MASTICO IRREGULAR-PIE ARD.;MR;P2;Selladores;MASTICO IRREGULAR;;;;;;;;;
8;Sem33;13/8/2019;#N/D;X67;K67;655;TCP;;;;;655193510047;;;1221-4373;FALTA DE BARNIZ-ENCUADRAMIENTO DE PUERTA AVI.;MR;P2;Cabinas;FALTA DE BARNIZ;;;;;;;;;
8;Sem33;13/8/2019;VP;X52;L52;655;TCP;;;;;655193410164;;;1001-4442;AMPOLLAS DEL MASTICO-REBATIDO DE PUERTA AVD.;ND;P2;Chapa;AMPOLLAS DEL MASTICO;;;;;;;;;
8;Sem33;13/8/2019;VP;X52;L52;655;TCP;;;;;655193410164;;;1170-4466;GOTA-DOBLADO MARCO DE PUERTA AVD.;MR;P2;Cabinas;GOTA;;;;;;;;;
8;Sem33;14/8/2019;VP;X52;B52;655;TCT;;;;;655193350044;;;0210-4404;BOLLOS-PUERTA ARD.;ND;P2;Partes móviles;BOLLOS;;;;;;;;;
8;Sem33;14/8/2019;VP;X67;F67;655;TCT;;;;;655193420056;;;0240-4518;DEFORMACION CHAPA-EXT. FALDA;FG;P2;Partes móviles;DEFORMACION CHAPA;;;;;;;;;
